result_group,version,feature_setting,model,method,test_n,selected_threshold,accuracy,balanced_accuracy,roc_auc,f1,status,note,source
reward_memory,V5,,llama4-scout-17b,pattern_anchor,12852.0,37.0,0.625505757858699,0.6324873277646891,0.6796909247028575,0.6596903061585238,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V5,,llama4-scout-17b,reward_prior,12852.0,49.0,0.6580298786181139,0.6585243092739345,0.7222046168363826,0.6492698108690448,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V5,,llama4-scout-17b,final_reward_memory,12852.0,46.0,0.6603641456582633,0.6634840742893859,0.7204490199020995,0.6686404008198589,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V5,,llama4-scout-17b,final_reward_memory_survey_weighted,12852.0,46.0,0.6635286381278062,0.6634848556582089,0.72341718515688,0.6276665019879584,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V5,,llama4-scout-17b,final_without_memory,12852.0,46.0,0.6605975723622782,0.6636487878509725,0.7203030044744392,0.6684402553967771,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V5,,llama3-groq-70b-tool-use,pattern_anchor,12852.0,37.0,0.625505757858699,0.6324873277646891,0.6796909247028575,0.6596903061585238,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V5,,llama3-groq-70b-tool-use,reward_prior,12852.0,45.0,0.6589635854341737,0.663491213576885,0.7223389641428071,0.6757896294104594,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V5,,llama3-groq-70b-tool-use,final_reward_memory,12852.0,50.0,0.6604419545596016,0.663761996552744,0.7208383903286453,0.669944032672818,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V5,,llama3-groq-70b-tool-use,final_reward_memory_survey_weighted,12852.0,50.0,0.6615533231035511,0.6627394352892197,0.7234237558573395,0.6290139508967091,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V5,,llama3-groq-70b-tool-use,final_without_memory,12852.0,50.0,0.659041394335512,0.6631000826117553,0.7213922436255148,0.6730826618919726,complete,,results/reward_memory/benchmark_results_public.csv
trbm,V4,,llama4-scout-17b,trbm_full,12853.0,0.4800000000000001,0.7389714463549366,0.7371227831906748,0.8204747676855988,0.7181382844661011,complete,,results/trbm/full_results_public.csv
trbm,V4,,llama4-scout-17b,trbm_full_survey_weighted,12853.0,0.4800000000000001,0.731536713590658,0.7235664841063089,0.811335292806949,0.6812361195155199,complete,,results/trbm/full_results_public.csv
trbm,V4,,llama3-groq-70b-tool-use,trbm_full,12853.0,0.4800000000000001,0.7389714463549366,0.7371227831906748,0.8204747676855988,0.7181382844661011,complete,,results/trbm/full_results_public.csv
trbm,V4,,llama3-groq-70b-tool-use,trbm_full_survey_weighted,12853.0,0.4800000000000001,0.731536713590658,0.7235664841063089,0.811335292806949,0.6812361195155199,complete,,results/trbm/full_results_public.csv
trbm,V5,,llama4-scout-17b,trbm_full,12853.0,0.44,0.653077102621956,0.6574235936894667,0.7199811678707492,0.6690417872782602,complete,,results/trbm/full_results_public.csv
trbm,V5,,llama4-scout-17b,trbm_full_survey_weighted,12853.0,0.44,0.6560740370468268,0.6600561934888283,0.7243535736095881,0.6315488102543951,complete,,results/trbm/full_results_public.csv
trbm,V5,,llama3-groq-70b-tool-use,trbm_full,12853.0,0.44,0.653077102621956,0.6574235936894667,0.7199811678707492,0.6690417872782602,complete,,results/trbm/full_results_public.csv
trbm,V5,,llama3-groq-70b-tool-use,trbm_full_survey_weighted,12853.0,0.44,0.6560740370468268,0.6600561934888283,0.7243535736095881,0.6315488102543951,complete,,results/trbm/full_results_public.csv
